Country,State
Canada,Ontario
Canada,Ontario
Canada,Ontario
Colombia,Bogota
Canada,Ontario
Canada,Ontario
Bosnia and Herzegovina,Federation of Bosnia and Herzegovina
Canada,Ontario
Canada,Ontario
United States,Texas
Brazil,State of Rio de Janeiro
Colombia,Bogota
Canada,Nova Scotia
Canada,Ontario
Argentina,Buenos Aires
Canada,Ontario
United States,Florida
Poland,Silesian Voivodeship
Costa Rica,San José Province
Brazil,
Argentina,Buenos Aires Province
Canada,Ontario
Brazil,State of Santa Catarina
Greece,
Poland,
Brazil,State of Paraná
United States,Florida
Brazil,State of Paraná
Peru,Lambayeque
Brazil,State of Paraná
Brazil,State of Paraná
United States,Idaho
Brazil,State of São Paulo
Brazil,State of Santa Catarina
Poland,Śląskie
Mexico,Jalisco
Brazil,State of Rio Grande do Sul
Argentina,Buenos Aires Province
Argentina,Buenos Aires Province
Canada,Ontario
Unknown,
Argentina,Provincia de Buenos Aires
Poland,
Spain,Andalucía
Brazil,State of Paraná
Brazil,
Argentina,Buenos Aires
Poland,Pomorskie
Poland,Katowice
Argentina,Córdoba
Canada,Ontario
Brazil,State of São Paulo
Argentina,Santa Fe Province
Brazil,Federal District
Canada,Ontario
Argentina,Santa Fe Province
Netherlands,North Holland
Canada,Ontario
United States,Pennsylvania
Romania,Bucharest
Brazil,State of Santa Catarina
Spain,Navarra
Brazil,State of São Paulo
Brazil,State of São Paulo
Brazil,São Paulo
Brazil,State of Paraná
Brazil,State of São Paulo
Brazil,State of Bahia
Colombia,Bogota
Brazil,Federal District
Mexico,Baja California Sur
Brazil,Federal District
Canada,British Columbia
Argentina,Córdoba Province
Costa Rica,Cartago Province
Brazil,State of São Paulo
Brazil,State of Rio Grande do Sul
Portugal,Lisbon
South Africa,Western Cape
Portugal,Lisbon
Brazil,State of Rio Grande do Sul
Brazil,Federal District
Brazil,State of Rio Grande do Sul
Dominican Republic,Distrito Nacional
Brazil,Paraná
Brazil,Federal District
Brazil,
Brazil,State of Paraná
Portugal,Porto
Bolivia,La Paz Department
Canada,British Columbia
Brazil,State of Rio Grande do Sul
Portugal,Setubal
Brazil,State of São Paulo
Portugal,Porto
Brazil,State of Santa Catarina
Canada,Saskatchewan
Portugal,Lisbon
Brazil,State of Minas Gerais
Canada,Ontario
United Kingdom,England
Brazil,State of Alagoas
Canada,Ontário
Brazil,São Paulo
Brazil,State of Rio Grande do Sul
Brazil,State of Paraná
Brazil,State of São Paulo
Brazil,Federal District
Brazil,State of São Paulo
Brazil,State of Paraná
Argentina,Buenos Aires
Brazil,State of São Paulo
Paraguay,Asunción
Canada,Ontario
Canada,British Columbia
Ecuador,Pichincha
Argentina,Santa Fe Province
Canada,Ontario
Mexico,
Portugal,Porto
Uruguay,Montevideo Department
Spain,Andalusia
Brazil,Rio de Janeiro
Brazil,State of Goiás
United States,Washington
United States,Texas
Canada,Ontario
Hungary,
Brazil,State of Minas Gerais
Brazil,State of São Paulo
Canada,Alberta
